provider,peak_offpeak_ratio,total_trip_starts,peak_trip_starts,offpeak_trip_starts,median_route_headway_minutes,mean_route_headway_minutes,total_unique_routes,dominant_mode
MTA,0.5482058189655172,287347,101747,185600,4.394409937888199,6.114727945022904,392,Bus
CTA,0.5205483860586361,94496,32350,62146,3.304849884526559,5.715174962779295,131,Bus
MBTA,0.5093538048744131,121506,41004,80502,5.863309352517986,12.063478277501016,374,Bus
NJ Transit,0.6068266901563533,36483,13778,22705,20.526315789473685,26.338289227720306,279,Bus
SEPTA,0.5038218402677354,36397,12194,24203,10.823529411764705,16.764739768975126,184,Bus
